dteday,temp,cnt,hr
2011-01-01,0.344167,985,
2011-01-02,0.363478,801,
2011-01-03,0.196364,1349,
2011-01-04,0.2,1562,
2011-01-05,0.226957,1600,
2011-01-06,0.204348,1606,
2011-01-07,0.196522,1510,
2011-01-08,0.165,959,
2011-01-09,0.138333,822,
2011-01-10,0.150833,1321,
2011-01-11,0.169091,1263,
2011-01-12,0.172727,1162,
2011-01-13,0.165,1406,
2011-01-14,0.16087,1421,
2011-01-15,0.233333,1248,
2011-01-16,0.231667,1204,
2011-01-17,0.175833,1000,
2011-01-18,0.216667,683,
2011-01-19,0.292174,1650,
2011-01-20,0.261667,1927,
2011-01-21,0.1775,1543,
2011-01-22,0.0591304,981,
2011-01-23,0.0965217,986,
2011-01-24,0.0973913,1416,
2011-01-25,0.223478,1985,
2011-01-26,0.2175,506,
2011-01-27,0.195,431,
2011-01-28,0.203478,1167,
2011-01-29,0.196522,1098,
2011-01-30,0.216522,1096,
2011-01-31,0.180833,1501,
2011-02-01,0.192174,1360,
2011-02-02,0.26,1526,
2011-02-03,0.186957,1550,
2011-02-04,0.211304,1708,
2011-02-05,0.233333,1005,
2011-02-06,0.285833,1623,
2011-02-07,0.271667,1712,
2011-02-08,0.220833,1530,
2011-02-09,0.134783,1605,
2011-02-10,0.144348,1538,
2011-02-11,0.189091,1746,
2011-02-12,0.2225,1472,
2011-02-13,0.316522,1589,
2011-02-14,0.415,1913,
2011-02-15,0.266087,1815,
2011-02-16,0.318261,2115,
2011-02-17,0.435833,2475,
2011-02-18,0.521667,2927,
2011-02-19,0.399167,1635,
2011-02-20,0.285217,1812,
2011-02-21,0.303333,1107,
2011-02-22,0.182222,1450,
2011-02-23,0.221739,1917,
2011-02-24,0.295652,1807,
2011-02-25,0.364348,1461,
2011-02-26,0.2825,1969,
2011-02-27,0.343478,2402,
2011-02-28,0.407273,1446,
2011-03-01,0.266667,1851,
2011-03-02,0.335,2134,
2011-03-03,0.198333,1685,
2011-03-04,0.261667,1944,
2011-03-05,0.384167,2077,
2011-03-06,0.376522,605,
2011-03-07,0.261739,1872,
2011-03-08,0.2925,2133,
2011-03-09,0.295833,1891,
2011-03-10,0.389091,623,
2011-03-11,0.316522,1977,
2011-03-12,0.329167,2132,
2011-03-13,0.384348,2417,
2011-03-14,0.325217,2046,
2011-03-15,0.317391,2056,
2011-03-16,0.365217,2192,
2011-03-17,0.415,2744,
2011-03-18,0.54,3239,
2011-03-19,0.4725,3117,
2011-03-20,0.3325,2471,
2011-03-21,0.430435,2077,
2011-03-22,0.441667,2703,
2011-03-23,0.346957,2121,
2011-03-24,0.285,1865,
2011-03-25,0.264167,2210,
2011-03-26,0.265833,2496,
2011-03-27,0.253043,1693,
2011-03-28,0.264348,2028,
2011-03-29,0.3025,2425,
2011-03-30,0.3,1536,
2011-03-31,0.268333,1685,
2011-04-01,0.3,2227,
2011-04-02,0.315,2252,
2011-04-03,0.378333,3249,
2011-04-04,0.573333,3115,
2011-04-05,0.414167,1795,
2011-04-06,0.390833,2808,
2011-04-07,0.4375,3141,
2011-04-08,0.335833,1471,
2011-04-09,0.3425,2455,
2011-04-10,0.426667,2895,
2011-04-11,0.595652,3348,
2011-04-12,0.5025,2034,
2011-04-13,0.4125,2162,
2011-04-14,0.4675,3267,
2011-04-15,0.446667,3126,
2011-04-16,0.430833,795,
2011-04-17,0.456667,3744,
2011-04-18,0.5125,3429,
2011-04-19,0.505833,3204,
2011-04-20,0.595,3944,
2011-04-21,0.459167,4189,
2011-04-22,0.336667,1683,
2011-04-23,0.46,4036,
2011-04-24,0.581667,4191,
2011-04-25,0.606667,4073,
2011-04-26,0.631667,4400,
2011-04-27,0.62,3872,
2011-04-28,0.6175,4058,
2011-04-29,0.51,4595,
2011-04-30,0.4725,5312,
2011-05-01,0.451667,3351,
2011-05-02,0.549167,4401,
2011-05-03,0.616667,4451,
2011-05-04,0.414167,2633,
2011-05-05,0.459167,4433,
2011-05-06,0.479167,4608,
2011-05-07,0.52,4714,
2011-05-08,0.528333,4333,
2011-05-09,0.5325,4362,
2011-05-10,0.5325,4803,
2011-05-11,0.5425,4182,
2011-05-12,0.535,4864,
2011-05-13,0.5125,4105,
2011-05-14,0.520833,3409,
2011-05-15,0.5625,4553,
2011-05-16,0.5775,3958,
2011-05-17,0.561667,4123,
2011-05-18,0.55,3855,
2011-05-19,0.530833,4575,
2011-05-20,0.536667,4917,
2011-05-21,0.6025,5805,
2011-05-22,0.604167,4660,
2011-05-23,0.631667,4274,
2011-05-24,0.66,4492,
2011-05-25,0.660833,4978,
2011-05-26,0.708333,4677,
2011-05-27,0.681667,4679,
2011-05-28,0.655833,4758,
2011-05-29,0.6675,4788,
2011-05-30,0.733333,4098,
2011-05-31,0.775,3982,
2011-06-01,0.764167,3974,
2011-06-02,0.715,4968,
2011-06-03,0.62,5312,
2011-06-04,0.635,5342,
2011-06-05,0.648333,4906,
2011-06-06,0.678333,4548,
2011-06-07,0.7075,4833,
2011-06-08,0.775833,4401,
2011-06-09,0.808333,3915,
2011-06-10,0.755,4586,
2011-06-11,0.725,4966,
2011-06-12,0.6925,4460,
2011-06-13,0.635,5020,
2011-06-14,0.604167,4891,
2011-06-15,0.626667,5180,
2011-06-16,0.628333,3767,
2011-06-17,0.649167,4844,
2011-06-18,0.696667,5119,
2011-06-19,0.699167,4744,
2011-06-20,0.635,4010,
2011-06-21,0.680833,4835,
2011-06-22,0.733333,4507,
2011-06-23,0.728333,4790,
2011-06-24,0.724167,4991,
2011-06-25,0.695,5202,
2011-06-26,0.68,5305,
2011-06-27,0.6825,4708,
2011-06-28,0.744167,4648,
2011-06-29,0.728333,5225,
2011-06-30,0.696667,5515,
2011-07-01,0.7225,5362,
2011-07-02,0.738333,5119,
2011-07-03,0.716667,4649,
2011-07-04,0.726667,6043,
2011-07-05,0.746667,4665,
2011-07-06,0.72,4629,
2011-07-07,0.75,4592,
2011-07-08,0.709167,4040,
2011-07-09,0.733333,5336,
2011-07-10,0.7475,4881,
2011-07-11,0.7625,4086,
2011-07-12,0.794167,4258,
2011-07-13,0.746667,4342,
2011-07-14,0.680833,5084,
2011-07-15,0.663333,5538,
2011-07-16,0.686667,5923,
2011-07-17,0.719167,5302,
2011-07-18,0.746667,4458,
2011-07-19,0.776667,4541,
2011-07-20,0.768333,4332,
2011-07-21,0.815,3784,
2011-07-22,0.848333,3387,
2011-07-23,0.849167,3285,
2011-07-24,0.83,3606,
2011-07-25,0.743333,3840,
2011-07-26,0.771667,4590,
2011-07-27,0.775,4656,
2011-07-28,0.779167,4390,
2011-07-29,0.838333,3846,
